region,piso_ecologico,distrito,anio,numero_mes,mes,num_cultivos,produccion_piso_ton,temp_promedio,temp_maxima,temp_minima,precipitacion,humedad_relativa,radiacion_solar,velocidad_viento,presion_atmosferica,humedad_suelo,temp_superficie,punto_rocio,humedad_especifica,produccion_piso_ton_z,temp_promedio_z,temp_maxima_z,precipitacion_z,humedad_relativa_z,radiacion_solar_z,humedad_suelo_z,anomalia,score_anomalia,evento_conocido
Piura,valle_piura,Castilla,2025,12,Diciembre,1,90040.0,25.21,35.15,17.3,0.02,60.21,23.87,4.31,99.56,0.41,28.21,15.88,11.39,2.0667676014412226,-0.19967594355540394,-0.34356783339267144,-0.3749449109453766,-0.504227889252237,1.6119858447579458,-0.004987798595921544,False,0.46062362636932436,ninguno
San Martin,selva_huallaga,Tocache,2024,12,Diciembre,3,85045.47,23.27,30.94,18.11,4.71,80.43,14.62,0.04,89.83,0.66,23.19,19.34,15.71,1.8335319942282235,-0.13110549839774685,-0.3710556316548085,1.366319536655995,0.7740402738626542,-0.658195416965019,0.8576908501914113,False,0.4605693803905623,nino_costero_2023_2024
La Libertad,costa,Viru,2023,5,Mayo,28,527405.505,22.06,29.1,18.42,0.13,80.86,17.01,2.59,94.07,0.38,23.72,18.31,14.07,0.0007818365084706678,1.2558967484688168,1.3196093422868658,-0.4481648752759643,1.2420057171411114,-1.5446418253587542,-0.3703087397906099,False,0.4604497635482778,nino_costero_2023_2024
Junin,selva_alta,Perene,2021,4,Abril,11,46569.95,18.84,26.07,14.2,1.16,81.36,14.55,0.67,82.63,0.59,19.13,15.11,13.14,0.4021213892057059,-1.1845171029796455,-1.4878198481163505,0.3043096782740878,1.3312121391551814,-0.4101437221683676,1.4915360398180215,False,0.46029593819409675,ninguno
San Martin,selva_alto_mayo,Moyobamba,2023,4,Abril,14,70041.08,22.07,29.14,16.36,2.57,81.76,14.46,0.04,90.32,0.6,22.0,18.38,14.74,0.8726984362390091,-1.1589169411776268,-1.3923631023094571,0.5631636216950677,1.2775465060996984,-1.4954584987493054,1.1063434243293724,False,0.460119345553884,nino_costero_2023_2024
La Libertad,yunga,Cascas,2024,12,Diciembre,7,15471.96,18.6,28.3,11.77,2.09,69.07,16.36,1.78,80.59,0.39,21.02,12.03,11.0,2.26755411896203,-0.5074198404388868,-0.5159479928964702,0.7061097434648247,0.7717809226674788,-1.0675988747296556,-0.3835650234114917,False,0.4600227624028417,nino_costero_2023_2024
La Libertad,sierra,Huamachuco,2023,7,Julio,14,133722.78,12.34,23.03,2.69,0.13,63.19,20.34,2.21,68.27,0.45,14.67,3.85,7.5,1.6764680374945609,0.6135779267537558,0.7336850215731467,-1.033532037780156,-1.0348038339574923,0.9127641098956643,-0.9833793394008071,False,0.45999606053133496,nino_costero_2023_2024
Piura,sierra,Jilili,2025,2,Febrero,1,33308.177,17.65,26.47,12.45,4.11,80.82,13.92,1.06,80.31,0.5,18.89,13.87,12.4,-0.6622263236147867,-0.20511165643494347,-0.3651679393160858,1.8227381393811644,1.396516043638521,-1.4509460411956505,0.7576373613434358,False,0.4599360282511112,ninguno
La Libertad,costa,Viru,2023,1,Enero,28,461668.891,20.47,26.02,16.15,1.16,77.38,20.22,2.02,94.12,0.39,22.21,16.13,12.26,-0.7404366721244998,0.15175333942304955,-1.0714191259937935,1.7286359474930049,0.49975697884206494,0.16226050663794933,0.32916332425832595,False,0.459928429579341,nino_costero_2023_2024
Puno,puna_alta,Pucara,2024,10,Octubre,1,0.0,8.98,21.04,-3.41,0.66,53.1,25.8,2.27,61.13,0.38,12.48,-2.16,5.56,-0.3864845380266832,1.1449062117597903,1.1508289622694476,-0.5936140598029928,-1.023584145718398,1.4125157601817746,-1.4425109344269722,False,0.45992026088369453,ninguno
