region,cultivo,piso_asignado,distrito,produccion_total_ton,nivel_confianza,regla_asignacion,categoria_agronomica,justificacion
Piura,maiz_amarillo_duro,valle_chira,Sullana,415294.0,media,taxonomia_piso_prioridad,granos,Primer piso compatible en Piura: valle_chira (prioridad agronómica 2/6).
Piura,maiz_amilaceo,sierra,Canchaque,90765.0,alta,taxonomia_piso_prioridad,granos_andinos,Primer piso compatible en Piura: sierra (prioridad agronómica 1/4).
Piura,maiz_choclo,sierra,Canchaque,8022.0,media,taxonomia_piso_prioridad,granos,Primer piso compatible en Piura: sierra (prioridad agronómica 2/5).
Piura,mango,bosque_seco,Tambogrande,1882343.0,alta,override_regional,frutales_tropicales,Mango en bosque seco.
Piura,naranja,bosque_seco,Tambogrande,11539.0,media,taxonomia_piso_prioridad,citricos,Primer piso compatible en Piura: bosque_seco (prioridad agronómica 6/9).
Piura,oca,sierra,Canchaque,8876.0,media,taxonomia_piso_prioridad,andinos,Primer piso compatible en Piura: sierra (prioridad agronómica 3/3).
Piura,olluco,sierra,Canchaque,7730.0,media,taxonomia_piso_prioridad,andinos,Primer piso compatible en Piura: sierra (prioridad agronómica 3/3).
Piura,palta,valle_chira,Sullana,34463.0,media,taxonomia_piso_prioridad,frutales,Primer piso compatible en Piura: valle_chira (prioridad agronómica 6/6).
Piura,papa,sierra,Canchaque,140555.0,alta,taxonomia_piso_prioridad,andinos,Primer piso compatible en Piura: sierra (prioridad agronómica 1/4).
Piura,papaya,bosque_seco,Tambogrande,12441.0,media,taxonomia_piso_prioridad,frutales_tropicales,Primer piso compatible en Piura: bosque_seco (prioridad agronómica 2/7).
Piura,paprika,valle_chira,Sullana,19847.0,media,taxonomia_piso_prioridad,hortalizas_exportacion,Primer piso compatible en Piura: valle_chira (prioridad agronómica 2/2).
Piura,pimiento,valle_chira,Sullana,59349.0,media,taxonomia_piso_prioridad,hortalizas_exportacion,Primer piso compatible en Piura: valle_chira (prioridad agronómica 2/3).
Piura,piquillo,valle_chira,Sullana,107432.0,media,taxonomia_piso_prioridad,hortalizas_exportacion,Primer piso compatible en Piura: valle_chira (prioridad agronómica 2/2).
Piura,platano,valle_chira,Sullana,2091358.3,alta,override_regional,frutales_tropicales,Plátano dominante en valle de Chira.
Piura,tomate,sierra,Canchaque,9356.0,media,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Piura: sierra (prioridad agronómica 3/6).
Piura,trigo,sierra,Canchaque,72116.0,alta,taxonomia_piso_prioridad,granos_andinos,Primer piso compatible en Piura: sierra (prioridad agronómica 1/3).
Piura,tuna,sierra,Canchaque,2704.0,media,taxonomia_piso_prioridad,frutales,Primer piso compatible en Piura: sierra (prioridad agronómica 2/4).
Piura,uva,valle_chira,Sullana,1465184.28,media,override_regional,frutales,Uva de mesa en valle de Chira/Sullana; producción regional significativa.
Piura,yuca,valle_chira,Sullana,52584.0,media,taxonomia_piso_prioridad,raices,Primer piso compatible en Piura: valle_chira (prioridad agronómica 2/7).
Piura,zanahoria,sierra,Canchaque,4171.5,media,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Piura: sierra (prioridad agronómica 2/5).
Piura,zapallo,sierra,Canchaque,939.0,media,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Piura: sierra (prioridad agronómica 2/6).
Puno,ajo,altiplano_lacustre,Ilave,914.0,media,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 4/5).
Puno,alfalfa,altiplano_lacustre,Ilave,10029663.9,alta,override_regional,forrajeros,Alfalfa forrajera en altiplano lacustre (Ilave).
Puno,arroz_cascara,altiplano_lacustre,Ilave,334.0,media,taxonomia_piso_prioridad,granos,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 5/5).
Puno,arveja_grano_seco,altiplano_lacustre,Ilave,4335.84,media,taxonomia_piso_prioridad,leguminosas,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 3/4).
Puno,avena_forrajera,puna_alta,Ayaviri,13294902.33,alta,override_regional,forrajeros,Avena forrajera en puna alta.
Puno,cafe_pergamino,altiplano_lacustre,Ilave,43051.63,media,taxonomia_piso_prioridad,permanentes_selva,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 4/4).
Puno,camote,altiplano_lacustre,Ilave,12053.58,media,taxonomia_piso_prioridad,raices,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 8/8).
Puno,cebada_forrajera,puna_alta,Ayaviri,1653085.61,media,taxonomia_piso_prioridad,forrajeros,Primer piso compatible en Puno: puna_alta (prioridad agronómica 2/3).
Puno,cebada_grano,puna_alta,Ayaviri,144856.43,media,taxonomia_piso_prioridad,granos_andinos,Primer piso compatible en Puno: puna_alta (prioridad agronómica 2/3).
Puno,cebolla,altiplano_lacustre,Ilave,30820.14,media,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 4/5).
Puno,frijol_grano_seco,altiplano_lacustre,Ilave,4095.6,media,taxonomia_piso_prioridad,leguminosas,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 5/6).
Puno,granadilla,altiplano_lacustre,Ilave,5819.63,media,taxonomia_piso_prioridad,frutales,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 4/4).
Puno,haba_grano_seco,altiplano_lacustre,Ilave,71441.18,media,taxonomia_piso_prioridad,leguminosas,Primer piso compatible en Puno: altiplano_lacustre (prioridad agronómica 3/3).
