region,anio,mes_num,mes_nombre,cultivo,produccion_mensual
Ica,2020,3,Marzo,maiz_amarillo_duro,8992.650000000001
Ica,2020,3,Marzo,maiz_amilaceo,0.0
Ica,2020,3,Marzo,maiz_chala,0.0
Ica,2020,3,Marzo,maiz_choclo,0.0
Ica,2020,3,Marzo,mandarina,12535.0
Ica,2020,3,Marzo,mango,1679.2889999999998
Ica,2020,3,Marzo,manzana,243.18
Ica,2020,3,Marzo,melocoton,122.0
Ica,2020,3,Marzo,naranja,0.0
Ica,2020,3,Marzo,oca,0.0
Ica,2020,3,Marzo,olluco,0.0
Ica,2020,3,Marzo,oregano,0.0
Ica,2020,3,Marzo,pallar_grano_seco,16.000000000000007
Ica,2020,3,Marzo,palma_aceitera,0.0
Ica,2020,3,Marzo,palta,6100.0
Ica,2020,3,Marzo,papa,169.2
Ica,2020,3,Marzo,papaya,19.4
Ica,2020,3,Marzo,paprika,238.64999999999998
Ica,2020,3,Marzo,pimiento,0.0
Ica,2020,3,Marzo,pina,0.0
Ica,2020,3,Marzo,piquillo,0.0
Ica,2020,3,Marzo,platano,235.50000000000006
Ica,2020,3,Marzo,quinua,0.0
Ica,2020,3,Marzo,tangelo,0.0
Ica,2020,3,Marzo,tomate,7764.300000000003
Ica,2020,3,Marzo,trigo,0.0
Ica,2020,3,Marzo,tuna,114.0
Ica,2020,3,Marzo,uva,35329.05000000002
Ica,2020,3,Marzo,yuca,501.0
Ica,2020,3,Marzo,zanahoria,142.8
Ica,2020,3,Marzo,zapallo,299.64999999999964
Ica,2020,4,Abril,aceituna,2891.8
Ica,2020,4,Abril,aji,248.04999999999995
Ica,2020,4,Abril,ajo,0.0
Ica,2020,4,Abril,alcachofa,0.0
Ica,2020,4,Abril,alfalfa,11112.690000000002
Ica,2020,4,Abril,algodon_rama,2794.75
Ica,2020,4,Abril,arandano,0.0
Ica,2020,4,Abril,arroz_cascara,0.0
Ica,2020,4,Abril,arveja_grano_seco,0.0
Ica,2020,4,Abril,arveja_verde,45.0
Ica,2020,4,Abril,avena_forrajera,0.0
Ica,2020,4,Abril,cacao,0.0
Ica,2020,4,Abril,cafe_pergamino,0.0
Ica,2020,4,Abril,camote,1419.6000000000004
Ica,2020,4,Abril,cana_para_azucar,0.0
Ica,2020,4,Abril,cebada_forrajera,0.0
Ica,2020,4,Abril,cebada_grano,0.0
Ica,2020,4,Abril,cebolla,11299.28
Ica,2020,4,Abril,esparrago,14738.57
Ica,2020,4,Abril,frijol_grano_seco,0.0
Ica,2020,4,Abril,granadilla,0.0
Ica,2020,4,Abril,haba_grano_seco,0.0
Ica,2020,4,Abril,limon_sutil,510.19999999999993
Ica,2020,4,Abril,maiz_amarillo_duro,11051.149999999994
Ica,2020,4,Abril,maiz_amilaceo,23.699999999999996
Ica,2020,4,Abril,maiz_chala,0.0
Ica,2020,4,Abril,maiz_choclo,0.0
Ica,2020,4,Abril,mandarina,28944.199999999997
Ica,2020,4,Abril,mango,223.69999999999982
Ica,2020,4,Abril,manzana,483.0
Ica,2020,4,Abril,melocoton,0.0
Ica,2020,4,Abril,naranja,0.0
Ica,2020,4,Abril,oca,0.0
Ica,2020,4,Abril,olluco,0.0
Ica,2020,4,Abril,oregano,0.0
Ica,2020,4,Abril,pallar_grano_seco,25.25
Ica,2020,4,Abril,palma_aceitera,0.0
Ica,2020,4,Abril,palta,9422.719999999998
Ica,2020,4,Abril,papa,230.25
Ica,2020,4,Abril,papaya,23.000000000000007
Ica,2020,4,Abril,paprika,116.63999999999999
Ica,2020,4,Abril,pimiento,0.0
Ica,2020,4,Abril,pina,0.0
Ica,2020,4,Abril,piquillo,0.0
Ica,2020,4,Abril,platano,232.39999999999998
Ica,2020,4,Abril,quinua,0.0
Ica,2020,4,Abril,tangelo,0.0
Ica,2020,4,Abril,tomate,1505.699999999997
Ica,2020,4,Abril,trigo,0.0
Ica,2020,4,Abril,tuna,0.0
Ica,2020,4,Abril,uva,5521.149999999994
Ica,2020,4,Abril,yuca,379.0
Ica,2020,4,Abril,zanahoria,0.0
Ica,2020,4,Abril,zapallo,688.9000000000001
Ica,2020,5,Mayo,aceituna,2232.63
Ica,2020,5,Mayo,aji,515.6000000000001
Ica,2020,5,Mayo,ajo,0.0
Ica,2020,5,Mayo,alcachofa,0.0
Ica,2020,5,Mayo,alfalfa,11133.920000000006
Ica,2020,5,Mayo,algodon_rama,2463.628999999999
Ica,2020,5,Mayo,arandano,0.0
Ica,2020,5,Mayo,arroz_cascara,0.0
Ica,2020,5,Mayo,arveja_grano_seco,0.0
Ica,2020,5,Mayo,arveja_verde,91.65
Ica,2020,5,Mayo,avena_forrajera,0.0
Ica,2020,5,Mayo,cacao,0.0
Ica,2020,5,Mayo,cafe_pergamino,0.0
Ica,2020,5,Mayo,camote,2553.1000000000004
Ica,2020,5,Mayo,cana_para_azucar,0.0
Ica,2020,5,Mayo,cebada_forrajera,0.0
Ica,2020,5,Mayo,cebada_grano,0.0
Ica,2020,5,Mayo,cebolla,10226.899999999998
Ica,2020,5,Mayo,esparrago,14070.719000000005
Ica,2020,5,Mayo,frijol_grano_seco,0.0
Ica,2020,5,Mayo,granadilla,0.0
Ica,2020,5,Mayo,haba_grano_seco,0.0
Ica,2020,5,Mayo,limon_sutil,70.04999999999995
Ica,2020,5,Mayo,maiz_amarillo_duro,34653.0
Ica,2020,5,Mayo,maiz_amilaceo,0.0
Ica,2020,5,Mayo,maiz_chala,0.0
Ica,2020,5,Mayo,maiz_choclo,0.0
Ica,2020,5,Mayo,mandarina,36201.25
Ica,2020,5,Mayo,mango,0.0
Ica,2020,5,Mayo,manzana,273.79999999999995
Ica,2020,5,Mayo,melocoton,0.0
Ica,2020,5,Mayo,naranja,215.1
Ica,2020,5,Mayo,oca,15.600000000000001
Ica,2020,5,Mayo,olluco,0.0
Ica,2020,5,Mayo,oregano,0.0
Ica,2020,5,Mayo,pallar_grano_seco,6.299999999999997
Ica,2020,5,Mayo,palma_aceitera,0.0
Ica,2020,5,Mayo,palta,27082.358999999997
Ica,2020,5,Mayo,papa,156.39999999999992
Ica,2020,5,Mayo,papaya,31.299999999999997
Ica,2020,5,Mayo,paprika,456.04999999999995
Ica,2020,5,Mayo,pimiento,0.0
Ica,2020,5,Mayo,pina,0.0
Ica,2020,5,Mayo,piquillo,0.0
Ica,2020,5,Mayo,platano,228.9999999999999
Ica,2020,5,Mayo,quinua,0.0
Ica,2020,5,Mayo,tangelo,0.0
Ica,2020,5,Mayo,tomate,3056.949999999997
Ica,2020,5,Mayo,trigo,0.0
Ica,2020,5,Mayo,tuna,0.0
Ica,2020,5,Mayo,uva,0.0
Ica,2020,5,Mayo,yuca,320.79999999999995
Ica,2020,5,Mayo,zanahoria,0.0
Ica,2020,5,Mayo,zapallo,631.4000000000001
Ica,2020,6,Junio,aceituna,1.5
Ica,2020,6,Junio,aji,641.0
Ica,2020,6,Junio,ajo,0.0
Ica,2020,6,Junio,alcachofa,0.0
Ica,2020,6,Junio,alfalfa,10591.89899999999
Ica,2020,6,Junio,algodon_rama,938.6900000000023
Ica,2020,6,Junio,arandano,0.0
Ica,2020,6,Junio,arroz_cascara,0.0
Ica,2020,6,Junio,arveja_grano_seco,0.0
Ica,2020,6,Junio,arveja_verde,73.62
Ica,2020,6,Junio,avena_forrajera,0.0
Ica,2020,6,Junio,cacao,0.0
Ica,2020,6,Junio,cafe_pergamino,0.0
Ica,2020,6,Junio,camote,4506.5999999999985
Ica,2020,6,Junio,cana_para_azucar,0.0
Ica,2020,6,Junio,cebada_forrajera,0.0
Ica,2020,6,Junio,cebada_grano,76.5
Ica,2020,6,Junio,cebolla,9825.900000000009
Ica,2020,6,Junio,esparrago,15561.5
Ica,2020,6,Junio,frijol_grano_seco,0.0
Ica,2020,6,Junio,granadilla,0.0
Ica,2020,6,Junio,haba_grano_seco,0.0
Ica,2020,6,Junio,limon_sutil,336.35000000000014
Ica,2020,6,Junio,maiz_amarillo_duro,19126.199999999997
Ica,2020,6,Junio,maiz_amilaceo,0.0
Ica,2020,6,Junio,maiz_chala,0.0
Ica,2020,6,Junio,maiz_choclo,148.29899999999998
Ica,2020,6,Junio,mandarina,32010.90000000001
Ica,2020,6,Junio,mango,
Ica,2020,6,Junio,manzana,4.349999999999909
Ica,2020,6,Junio,melocoton,0.0
Ica,2020,6,Junio,naranja,2209.27
Ica,2020,6,Junio,oca,9.2
Ica,2020,6,Junio,olluco,0.0
Ica,2020,6,Junio,oregano,0.0
Ica,2020,6,Junio,pallar_grano_seco,0.0
Ica,2020,6,Junio,palma_aceitera,0.0
Ica,2020,6,Junio,palta,19140.15
Ica,2020,6,Junio,papa,55.760000000000105
Ica,2020,6,Junio,papaya,28.35000000000001
Ica,2020,6,Junio,paprika,
