region,piso_ecologico,distrito,anio,numero_mes,mes,num_cultivos,produccion_piso_ton,temp_promedio,temp_maxima,temp_minima,precipitacion,humedad_relativa,radiacion_solar,velocidad_viento,presion_atmosferica,humedad_suelo,temp_superficie,punto_rocio,humedad_especifica
Ica,costa,Chincha Alta,2021,7,Julio,34,197769.226,17.73,24.39,13.65,0.0,70.51,11.75,3.5,95.97,0.33,18.47,11.86,9.14
Ica,costa,Chincha Alta,2021,8,Agosto,34,144596.152,17.67,24.29,12.82,0.01,67.43,14.5,3.63,96.0,0.32,18.74,11.1,8.69
Ica,costa,Chincha Alta,2021,9,Septiembre,34,125678.684,17.64,23.92,12.89,0.04,68.23,19.17,3.65,95.94,0.32,19.11,11.31,8.79
Ica,costa,Chincha Alta,2021,10,Octubre,34,92173.442,17.96,23.73,12.98,0.06,67.47,22.23,3.62,95.9,0.32,19.69,11.41,8.86
Ica,costa,Chincha Alta,2021,11,Noviembre,34,124959.432,18.47,23.89,14.2,0.18,72.74,23.0,3.16,95.91,0.32,20.24,13.08,9.9
Ica,costa,Chincha Alta,2021,12,Diciembre,34,222145.179,19.42,25.23,15.47,0.26,75.89,23.33,3.19,95.84,0.33,21.33,14.77,11.02
Ica,costa,Chincha Alta,2022,1,Enero,34,215764.833,21.04,26.65,17.35,0.3,77.84,25.12,3.19,95.84,0.33,22.87,16.78,12.54
Ica,costa,Chincha Alta,2022,2,Febrero,34,146508.322,20.83,26.13,17.22,0.45,78.37,23.77,2.86,95.81,0.33,22.42,16.67,12.47
Ica,costa,Chincha Alta,2022,3,Marzo,34,,21.13,26.62,17.37,0.34,76.46,22.94,2.7,95.77,0.34,22.49,16.57,12.4
Ica,costa,Chincha Alta,2022,4,Abril,34,,19.67,25.45,14.67,0.14,72.61,20.9,2.91,95.78,0.33,20.6,14.28,10.7
Ica,costa,Chincha Alta,2022,5,Mayo,34,118475.52,18.49,24.61,13.58,0.09,68.45,17.94,2.62,95.91,0.33,18.98,12.02,9.31
Ica,costa,Chincha Alta,2022,6,Junio,34,147713.474,17.01,23.94,11.88,0.02,71.14,14.47,2.92,95.99,0.33,17.47,11.27,8.82
Ica,costa,Chincha Alta,2022,7,Julio,34,163283.01,16.93,22.69,12.86,0.01,70.56,12.96,3.53,95.95,0.33,17.6,11.18,8.73
Ica,costa,Chincha Alta,2022,8,Agosto,34,171183.065,16.95,23.06,12.39,0.01,67.46,13.73,3.33,95.94,0.32,17.95,10.41,8.31
Ica,costa,Chincha Alta,2022,9,Septiembre,34,147506.98,17.32,24.98,12.58,0.0,63.21,18.67,3.62,95.95,0.32,18.6,9.58,7.92
Ica,costa,Chincha Alta,2022,10,Octubre,34,115438.61,17.39,23.55,11.74,0.01,63.94,22.61,3.4,95.95,0.32,19.07,9.89,8.06
Ica,costa,Chincha Alta,2022,11,Noviembre,34,93193.0,18.8,25.72,13.54,0.01,69.06,23.38,3.19,95.89,0.32,20.72,12.5,9.58
Ica,costa,Chincha Alta,2022,12,Diciembre,34,210659.956,20.25,25.79,15.37,0.14,77.06,23.39,3.09,95.82,0.32,22.13,15.8,11.83
Ica,costa,Chincha Alta,2023,1,Enero,34,216884.72,21.16,25.44,17.06,0.31,77.62,24.09,2.67,95.82,0.33,22.79,16.86,12.62
Ica,costa,Chincha Alta,2023,2,Febrero,34,165317.69,22.44,27.3,19.28,0.41,79.95,23.42,2.54,95.7,0.33,23.9,18.59,14.1
Ica,costa,Chincha Alta,2023,3,Marzo,34,125596.49,22.82,28.21,19.77,0.22,79.26,21.69,2.54,95.78,0.33,24.35,18.8,14.28
Ica,costa,Chincha Alta,2023,4,Abril,34,120312.45,22.69,28.74,18.48,0.06,77.3,21.03,3.46,95.73,0.33,24.21,18.18,13.77
Ica,costa,Chincha Alta,2023,5,Mayo,34,147264.95,21.03,27.01,17.01,0.05,71.65,13.64,3.46,95.82,0.33,22.07,15.26,11.45
Ica,costa,Chincha Alta,2023,6,Junio,34,144785.6,19.97,26.56,15.55,0.0,69.87,11.79,3.26,95.86,0.33,20.72,13.75,10.43
Ica,costa,Chincha Alta,2023,7,Julio,34,187291.55,19.51,25.51,15.25,0.0,71.6,11.85,3.47,95.89,0.32,20.54,13.78,10.4
Ica,costa,Chincha Alta,2023,8,Agosto,34,194590.06,19.57,25.62,14.89,0.01,70.11,14.39,3.41,95.89,0.32,20.97,13.51,10.2
Ica,costa,Chincha Alta,2023,9,Septiembre,34,154562.05,19.56,25.59,15.2,0.05,70.11,18.27,3.64,95.82,0.32,21.16,13.54,10.22
Ica,costa,Chincha Alta,2023,10,Octubre,34,103837.42,19.85,25.55,15.54,0.05,73.91,21.24,3.53,95.86,0.32,21.66,14.79,11.02
Ica,costa,Chincha Alta,2023,11,Noviembre,34,128191.57,20.21,25.98,15.34,0.09,70.76,23.18,3.49,95.78,0.32,22.05,14.32,10.75
Ica,costa,Chincha Alta,2023,12,Diciembre,34,343796.13,20.95,26.06,16.34,0.48,76.08,23.58,3.52,95.74,0.33,22.77,16.32,12.19
Ica,costa,Chincha Alta,2024,1,Enero,34,238821.98,22.7,28.82,18.69,0.2,78.74,24.02,3.33,95.77,0.33,24.57,18.58,14.08
Ica,costa,Chincha Alta,2024,2,Febrero,34,100561.27,23.67,28.76,20.24,0.47,78.91,24.57,3.23,95.78,0.33,25.57,19.57,14.96
Ica,costa,Chincha Alta,2024,3,Marzo,34,99451.69,22.99,27.91,19.37,0.36,78.62,22.78,2.89,95.78,0.34,24.42,18.86,14.3
Ica,costa,Chincha Alta,2024,4,Abril,34,127234.24,21.46,26.61,16.96,0.11,77.93,20.52,3.06,95.82,0.34,22.77,17.2,12.88
Ica,costa,Chincha Alta,2024,5,Mayo,34,149991.06,19.73,25.47,15.26,0.07,70.38,15.52,3.02,95.81,0.33,20.36,13.74,10.41
Ica,costa,Chincha Alta,2024,6,Junio,34,139941.08,18.37,24.96,14.12,0.04,69.63,11.91,2.66,95.94,0.33,18.81,12.25,9.4
Ica,costa,Chincha Alta,2024,7,Julio,34,166436.65,17.99,23.59,13.35,0.01,67.55,13.25,3.21,95.91,0.33,18.57,11.42,8.92
Ica,costa,Chincha Alta,2024,8,Agosto,34,199380.98,18.14,25.16,12.82,0.0,64.3,14.87,3.3,95.98,0.32,19.02,10.68,8.52
Ica,costa,Chincha Alta,2024,9,Septiembre,34,171457.17,18.81,24.54,13.54,0.07,64.27,16.29,3.37,95.81,0.32,20.12,11.48,8.93
Ica,costa,Chincha Alta,2024,10,Octubre,34,104091.68,19.36,25.44,14.67,0.08,65.85,20.8,3.02,95.88,0.32,20.95,12.28,9.44
Ica,costa,Chincha Alta,2024,11,Noviembre,34,155964.86,19.44,24.46,14.93,0.33,74.98,22.93,2.93,95.89,0.33,21.11,14.58,10.89
Ica,costa,Chincha Alta,2024,12,Diciembre,34,227248.0,20.29,25.67,16.77,0.22,77.21,24.29,3.02,95.83,0.33,21.98,15.96,11.87
Ica,costa,Chincha Alta,2025,1,Enero,34,263210.92,21.5,26.36,18.1,0.35,77.14,24.52,2.67,95.85,0.33,23.2,17.09,12.78
Ica,costa,Chincha Alta,2025,2,Febrero,34,167457.66,22.17,26.86,19.51,1.69,82.99,22.06,2.46,95.75,0.35,23.48,19.0,14.42
Ica,costa,Chincha Alta,2025,3,Marzo,34,136344.42,22.0,27.64,18.89,1.11,80.76,22.57,2.6,95.81,0.38,23.18,18.35,13.84
Ica,costa,Chincha Alta,2025,4,Abril,34,120260.91,20.65,26.26,16.68,0.25,76.19,21.62,2.52,95.8,0.37,21.54,16.02,11.97
Ica,costa,Chincha Alta,2025,5,Mayo,34,165313.95,19.76,25.05,15.75,0.09,73.11,15.99,2.57,95.86,0.35,20.38,14.47,10.83
Ica,costa,Chincha Alta,2025,6,Junio,34,102093.48,18.05,23.54,13.86,2.43,78.54,10.56,3.19,95.96,0.41,18.54,14.02,10.47
Ica,costa,Chincha Alta,2025,7,Julio,34,202138.42,17.96,23.62,13.6,0.02,73.71,11.25,3.21,95.95,0.4,18.44,12.86,9.74
Ica,costa,Chincha Alta,2025,8,Agosto,34,196335.98,17.74,24.3,13.02,0.02,68.9,14.11,3.32,95.99,0.37,18.64,11.51,8.94
Ica,costa,Chincha Alta,2025,9,Septiembre,34,138121.98,18.5,24.68,13.71,0.07,68.57,18.18,3.23,95.94,0.35,19.83,12.21,9.34
Ica,costa,Chincha Alta,2025,10,Octubre,34,98889.31,18.83,24.85,14.14,0.14,70.34,22.13,3.08,95.89,0.34,20.48,12.88,9.77
Ica,costa,Chincha Alta,2025,11,Noviembre,34,130214.7,19.41,26.19,14.81,0.03,70.22,25.16,3.08,95.82,0.34,21.23,13.41,10.12
Ica,costa,Chincha Alta,2025,12,Diciembre,34,282775.33,20.21,26.27,15.32,0.06,72.42,25.16,3.01,95.82,0.33,22.15,14.67,11.0
Junin,selva_alta,Perene,2020,1,Enero,14,94728.2,19.23,27.33,14.32,0.82,81.02,14.55,0.73,82.61,0.58,19.56,15.4,13.41
Junin,selva_alta,Perene,2020,2,Febrero,14,103138.789,19.26,26.66,15.12,1.03,81.54,12.8,0.76,82.64,0.56,19.68,15.56,13.53
Junin,selva_alta,Perene,2020,3,Marzo,14,118094.249,19.6,28.58,14.48,0.86,76.59,15.55,0.72,82.63,0.55,19.97,14.76,12.85
Junin,selva_alta,Perene,2020,4,Abril,14,113088.15,19.98,27.98,13.24,0.29,72.24,15.23,0.75,82.74,0.53,20.42,14.14,12.38
Junin,selva_alta,Perene,2020,5,Mayo,14,124700.109,19.93,28.25,11.4,0.11,65.85,14.8,0.74,82.82,0.51,20.26,12.5,11.22
Junin,selva_alta,Perene,2020,6,Junio,14,119908.228,19.44,27.52,14.61,1.55,73.42,14.39,0.67,82.75,0.51,19.93,14.0,12.2
Junin,selva_alta,Perene,2020,7,Julio,14,109645.25,18.68,26.3,12.04,1.25,75.3,15.28,0.67,82.73,0.55,19.05,13.54,11.93
Junin,selva_alta,Perene,2020,8,Agosto,14,89674.285,19.73,29.27,12.8,0.13,67.27,17.3,0.71,82.72,0.52,20.18,12.77,11.33
Junin,selva_alta,Perene,2020,9,Septiembre,14,86496.06,20.59,29.36,14.86,0.2,66.64,13.77,0.84,82.67,0.51,21.16,13.47,11.84
Junin,selva_alta,Perene,2020,10,Octubre,14,83471.55,21.29,29.48,14.84,0.89,65.74,16.8,0.85,82.58,0.5,21.96,13.85,12.15
Junin,selva_alta,Perene,2020,11,Noviembre,14,84460.419,20.58,29.65,14.17,0.7,72.48,17.04,0.74,82.53,0.52,21.06,14.79,12.92
Junin,selva_alta,Perene,2020,12,Diciembre,14,106014.13,19.33,26.88,14.54,2.7,80.38,13.32,0.81,82.46,0.53,19.7,15.44,13.45
Junin,selva_alta,Perene,2021,1,Enero,14,99443.169,18.1,23.74,14.09,5.35,85.64,13.76,0.78,82.5,0.65,18.42,15.34,13.38
Junin,selva_alta,Perene,2021,2,Febrero,14,108179.722,18.69,28.7,13.58,0.89,81.34,14.2,0.67,82.52,0.64,18.95,14.94,13.06
Junin,selva_alta,Perene,2021,3,Marzo,14,112558.849,18.66,26.19,14.69,0.87,81.05,14.51,0.7,82.53,0.6,18.96,14.89,12.96
Junin,selva_alta,Perene,2021,4,Abril,14,116776.309,18.84,26.07,14.2,1.16,81.36,14.55,0.67,82.63,0.59,19.13,15.11,13.14
Junin,selva_alta,Perene,2021,5,Mayo,14,,19.58,27.5,13.08,0.11,70.92,14.67,0.67,82.77,0.56,19.96,13.45,11.82
Junin,selva_alta,Perene,2021,6,Junio,14,,18.78,25.96,12.23,0.18,72.34,13.7,0.66,82.81,0.53,19.14,13.16,11.55
Junin,selva_alta,Perene,2021,7,Julio,14,113977.629,19.18,27.5,11.53,0.05,60.89,16.37,0.75,82.88,0.51,19.38,10.7,9.87
Junin,selva_alta,Perene,2021,8,Agosto,14,93288.008,20.09,28.32,12.75,0.1,60.59,16.57,0.75,82.79,0.5,20.43,11.47,10.42
Junin,selva_alta,Perene,2021,9,Septiembre,14,84352.135,20.9,29.18,14.76,0.12,61.22,16.31,0.8,82.73,0.49,21.52,12.46,11.03
Junin,selva_alta,Perene,2021,10,Octubre,14,83964.52,21.5,30.3,14.6,0.2,64.29,18.05,0.85,82.59,0.48,22.16,13.89,12.14
Junin,selva_alta,Perene,2021,11,Noviembre,14,93412.459,20.05,27.42,14.93,0.6,72.54,14.0,0.81,82.49,0.48,20.61,14.46,12.61
Junin,selva_alta,Perene,2021,12,Diciembre,14,94681.76,19.97,28.0,15.14,0.88,75.11,15.25,0.77,82.46,0.5,20.46,14.87,12.98
Junin,selva_alta,Perene,2022,1,Enero,14,102919.76,19.75,29.47,14.61,0.97,74.37,14.98,0.8,82.51,0.5,20.2,14.51,12.68
Junin,selva_alta,Perene,2022,2,Febrero,14,110514.223,18.89,27.51,14.43,1.37,79.26,13.44,0.79,82.53,0.52,19.29,14.71,12.83
Junin,selva_alta,Perene,2022,3,Marzo,14,,18.97,27.66,14.34,1.08,78.94,13.18,0.73,82.54,0.53,19.3,14.72,12.83
Junin,selva_alta,Perene,2022,4,Abril,14,,19.9,27.52,14.36,0.62,74.49,15.22,0.72,82.6,0.54,20.35,14.68,12.77
Junin,selva_alta,Perene,2022,5,Mayo,14,122217.83,19.1,27.17,12.83,0.42,72.25,13.93,0.7,82.76,0.52,19.58,13.44,11.78
Junin,selva_alta,Perene,2022,6,Junio,14,124260.779,18.48,26.53,10.0,0.1,68.27,15.82,0.67,82.75,0.51,18.67,11.83,10.71
Junin,selva_alta,Perene,2022,7,Julio,14,111521.938,20.11,27.83,14.25,0.17,64.37,16.36,0.71,82.74,0.5,20.63,12.48,11.08
Junin,selva_alta,Perene,2022,8,Agosto,14,85180.989,19.6,28.15,11.57,0.09,61.35,16.05,0.79,82.77,0.49,19.93,11.12,10.25
Junin,selva_alta,Perene,2022,9,Septiembre,14,91575.33,20.66,29.09,14.43,0.1,62.91,16.27,0.8,82.67,0.48,21.22,12.74,11.25
Junin,selva_alta,Perene,2022,10,Octubre,14,84485.509,20.95,28.24,14.46,0.02,66.24,17.59,0.82,82.56,0.48,21.68,13.77,12.08
Junin,selva_alta,Perene,2022,11,Noviembre,14,90896.379,20.58,30.66,13.17,0.06,61.86,18.42,0.8,82.57,0.48,21.17,12.19,11.0
Junin,selva_alta,Perene,2022,12,Diciembre,14,97394.89,19.66,28.3,14.57,0.78,73.65,14.5,0.78,82.47,0.48,20.16,14.21,12.46
